canonical_vgp_root	packet	source_row	job_id	job_name	partition	state	elapsed	elapsed_seconds	timelimit	allocated_cpus	requested_memory	max_rss	cpu_time_raw	total_cpu	exit_code	node_list	start	end	submit	failure_or_nonterminal
/moosefs/erikg/vgp	scale_vgp_real	72	1781978	vgp10-P08-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:37:16	2026-07-19T07:34:21	true
/moosefs/erikg/vgp	scale_vgp_real	73	1781979	vgp10-P08-consensus		CANCELLED by 1001	00:00:00	0	2-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:37:16	2026-07-19T07:34:21	true
/moosefs/erikg/vgp	scale_vgp_real	74	1781981	vgp10-P08-finalize		CANCELLED by 1001	00:00:00	0	02:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:37:16	2026-07-19T07:34:21	true
/moosefs/erikg/vgp	scale_vgp_real	75	1781982	vgp10-P08-annotation		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:37:16	2026-07-19T07:34:21	true
/moosefs/erikg/vgp	scale_vgp_real	76	1781980	vgp10-P08-psmc		CANCELLED by 1001	00:00:00	0	08:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:37:16	2026-07-19T07:34:21	true
/moosefs/erikg/vgp	scale_vgp_real	77	1781983	vgp10-P08-preflight		COMPLETED	00:00:02	2	01:00:00	4	16G		8	00:00:00	0:0	octopus08	2026-07-19T07:37:16	2026-07-19T07:37:18	2026-07-19T07:37:16	false
/moosefs/erikg/vgp	scale_vgp_real	78	1781984	vgp10-P08-mapping		FAILED	00:00:02	2	3-00:00:00	32	128G		64	00:00:00	11:0	octopus02	2026-07-19T07:37:19	2026-07-19T07:37:21	2026-07-19T07:37:16	true
/moosefs/erikg/vgp	scale_vgp_real	79	1781985	vgp10-P08-impg		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:38:55	2026-07-19T07:37:16	true
/moosefs/erikg/vgp	scale_vgp_real	80	1781986	vgp10-P08-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:38:55	2026-07-19T07:37:16	true
/moosefs/erikg/vgp	scale_vgp_real	81	1781987	vgp10-P08-consensus		CANCELLED by 1001	00:00:00	0	2-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:38:55	2026-07-19T07:37:16	true
/moosefs/erikg/vgp	scale_vgp_real	82	1781989	vgp10-P08-finalize		CANCELLED by 1001	00:00:00	0	02:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:38:55	2026-07-19T07:37:16	true
/moosefs/erikg/vgp	scale_vgp_real	83	1781990	vgp10-P08-annotation		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:38:55	2026-07-19T07:37:16	true
/moosefs/erikg/vgp	scale_vgp_real	84	1781988	vgp10-P08-psmc		CANCELLED by 1001	00:00:00	0	08:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:38:55	2026-07-19T07:37:16	true
/moosefs/erikg/vgp	scale_vgp_real	85	1781991	vgp10-P08-preflight		COMPLETED	00:00:02	2	01:00:00	4	16G		8	00:00:00	0:0	octopus08	2026-07-19T07:38:55	2026-07-19T07:38:57	2026-07-19T07:38:55	false
/moosefs/erikg/vgp	scale_vgp_real	86	1781992	vgp10-P08-mapping		FAILED	00:00:02	2	3-00:00:00	32	128G		64	00:00:00	11:0	octopus08	2026-07-19T07:38:58	2026-07-19T07:39:00	2026-07-19T07:38:55	true
/moosefs/erikg/vgp	scale_vgp_real	87	1781993	vgp10-P08-impg		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:44:52	2026-07-19T07:38:55	true
/moosefs/erikg/vgp	scale_vgp_real	88	1781994	vgp10-P08-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:44:52	2026-07-19T07:38:56	true
/moosefs/erikg/vgp	scale_vgp_real	89	1781995	vgp10-P08-consensus		CANCELLED by 1001	00:00:00	0	2-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:44:52	2026-07-19T07:38:56	true
/moosefs/erikg/vgp	scale_vgp_real	90	1781997	vgp10-P08-finalize		CANCELLED by 1001	00:00:00	0	02:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:44:52	2026-07-19T07:38:56	true
/moosefs/erikg/vgp	scale_vgp_real	91	1781998	vgp10-P08-annotation		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:44:52	2026-07-19T07:38:56	true
/moosefs/erikg/vgp	scale_vgp_real	92	1781996	vgp10-P08-psmc		CANCELLED by 1001	00:00:00	0	08:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:44:52	2026-07-19T07:38:56	true
/moosefs/erikg/vgp	scale_vgp_real	93	1782002	vgp10-P08-preflight		COMPLETED	00:00:02	2	01:00:00	4	16G		8	00:00:00	0:0	octopus08	2026-07-19T07:45:37	2026-07-19T07:45:39	2026-07-19T07:45:37	false
/moosefs/erikg/vgp	scale_vgp_real	94	1782003	vgp10-P08-mapping		FAILED	00:01:39	99	3-00:00:00	32	128G		3168	00:00:00	1:0	octopus08	2026-07-19T07:45:40	2026-07-19T07:47:19	2026-07-19T07:45:37	true
/moosefs/erikg/vgp	scale_vgp_real	95	1782004	vgp10-P08-impg		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:49:05	2026-07-19T07:45:37	true
/moosefs/erikg/vgp	scale_vgp_real	96	1782005	vgp10-P08-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:49:05	2026-07-19T07:45:37	true
/moosefs/erikg/vgp	scale_vgp_real	97	1782006	vgp10-P08-consensus		CANCELLED by 1001	00:00:00	0	2-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:49:05	2026-07-19T07:45:37	true
/moosefs/erikg/vgp	scale_vgp_real	98	1782007	vgp10-P08-psmc		CANCELLED by 1001	00:00:00	0	08:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:49:05	2026-07-19T07:45:37	true
/moosefs/erikg/vgp	scale_vgp_real	99	1782008	vgp10-P08-finalize		CANCELLED by 1001	00:00:00	0	02:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:49:05	2026-07-19T07:45:38	true
/moosefs/erikg/vgp	scale_vgp_real	100	1782009	vgp10-P08-annotation		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:49:05	2026-07-19T07:45:38	true
