row_type	candidate_id	scientific_name	pilot_selected	pilot_selection_group	assembly_composition_eligible	assembly_diversity_eligible	download_bytes_exact	persistent_storage_bytes_exact	core_hours_base	core_hours_high	peak_memory_gib_base	peak_memory_gib_high	wall_hours_base	wall_hours_high	scratch_gb_base	scratch_gb_high	inode_count_base	inode_count_high	moosefs_read_gb_base	moosefs_read_gb_high	moosefs_write_gb_base	moosefs_write_gb_high	metadata_operations_base	metadata_operations_high	formula_version	quota_state	gate_readiness
candidate	heterodontus_francisci_gca_036365525_1	Heterodontus francisci	no	UNASSIGNED	no	no	2948092316	2948092316	0.9922	4.2891	13.93	32.0	0.7572	3.363	28.8957	140.9973	2611	8704	31.3327	156.6637	0.2437	1.2185	20888	104442	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	hemiscyllium_ocellatum_gca_020745735_1	Hemiscyllium ocellatum	no	UNASSIGNED	no	no	2474337026	2474337026	0.7668	3.3145	10.76	32.0	0.5852	2.5989	22.3301	108.9603	2018	6726	24.2134	121.067	0.1883	0.9416	16142	80711	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	carcharodon_carcharias_gca_017639515_1	Carcharodon carcharias	no	UNASSIGNED	no	no	1203286960	1203286960	0.7325	3.1666	10.28	32.0	0.559	2.4829	21.3333	104.0963	1928	6426	23.1325	115.6626	0.1799	0.8996	15422	77108	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	scyliorhinus_canicula_gca_902713615_2	Scyliorhinus canicula	no	UNASSIGNED	no	no	1311253696	1311253696	0.801	3.4624	11.24	32.0	0.6113	2.7149	23.3264	113.8218	2108	7026	25.2937	126.4686	0.1967	0.9836	16862	84312	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	heptranchias_perlo_gca_035084215_1	Heptranchias perlo	no	UNASSIGNED	no	no	918294634	918294634	0.6048	2.6144	8.49	32.0	0.4615	2.0499	17.6131	85.9434	1592	5305	19.0985	95.4926	0.1485	0.7427	12732	63662	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	pristiophorus_japonicus_gca_044704955_1	Pristiophorus japonicus	no	UNASSIGNED	no	no	3397196253	3397196253	1.0729	4.6381	15.06	32.0	0.8188	3.6367	31.2469	152.4698	2824	9412	33.8822	169.4109	0.2635	1.3176	22588	112941	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	narcine_bancroftii_gca_036971445_1	Narcine bancroftii	no	UNASSIGNED	no	no	1844146599	1844146599	0.5748	2.4847	8.07	32.0	0.4387	1.9482	16.7396	81.681	1513	5042	18.1513	90.7566	0.1412	0.7059	12101	60504	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	amblyraja_radiata_gca_010909765_2	Amblyraja radiata	no	UNASSIGNED	no	no	743955315	743955315	0.5334	2.3059	7.49	29.95	0.4071	1.808	15.5346	75.8012	1404	4679	16.8447	84.2236	0.131	0.6551	11230	56149	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	pristis_pectinata_gca_009764475_2	Pristis pectinata	no	UNASSIGNED	no	no	721762790	721762790	0.3964	1.7134	5.56	22.25	0.3025	1.3435	11.5432	56.3252	1043	3477	12.5167	62.5835	0.0974	0.4868	8344	41722	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	hypanus_sabinus_gca_030144855_1	Hypanus sabinus	no	UNASSIGNED	no	no	1177379904	1177379904	0.7269	3.1422	10.2	32.0	0.5547	2.4637	21.1688	103.2938	1913	6376	22.9542	114.7708	0.1785	0.8927	15303	76514	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	latimeria_chalumnae_gca_037176945_1	Latimeria chalumnae	no	UNASSIGNED	no	no	921325612	921325612	0.4577	1.9787	6.42	25.7	0.3493	1.5515	13.3303	65.0454	1205	4015	14.4545	72.2726	0.1124	0.5621	9636	48182	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
aggregate_selected	aggregate_selected	aggregate_selected	n/a	n/a	n/a	n/a	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
aggregate_eligible	aggregate_eligible	aggregate_eligible	n/a	n/a	n/a	n/a	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
filesystem_context	filesystem_context	filesystem_context	n/a	n/a	n/a	n/a																			vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_interface_under_/moosefs/erikg/lewontin-paradox-data/vgp/phase1-freeze-1.0; filesystem free space exists but user quota evidence is unavailable
