canonical_vgp_root	selection_id	source_path	source_sha256	scenario_id	interval	time_years	effective_size	mutation_rate_per_generation	generation_time_years	psmc_bin_size_bp	mutation_rate_source	generation_time_source
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	40	805278.8148500001	129065.57165000001	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	41	867344.8501	129065.57165000001	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	42	933901.7507	129955.03885000001	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	43	1005275.2000999999	129955.03885000001	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	44	1081812.9086499999	132258.685475	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	45	1163889.33365	132258.685475	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	46	1251904.6304499998	135186.4276	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	47	1346288.84805	135186.4276	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	48	1447502.9780000001	137929.82554999998	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	49	1556041.0522	137929.82554999998	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	50	1672432.76515	139744.947	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	51	1797247.1451	139744.947	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
