candidate_id	scientific_name	catalog_row_number	resolution_priority	seed_modalities	resolved_modality	h1_accession_version	h2_accession_version	ncbi_taxid	class	order	acceptance_status	explicit_rejection_reason	blocking_requirement_ids	annotation_reference_accession_version	annotation_sequence_region_linkage_status	same_individual_status	phase_evidence_status	metadata_cache_request_keys	resolution_reason_codes
cottoperca_gobio_gca_900634415_1	Cottoperca gobio	622		tier3c_seed		GCA_900634415.1	UNRESOLVED	56716	Actinopteri	Perciformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_900634415.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
chelmon_rostratus_gca_017976325_1	Chelmon rostratus	632		tier3c_seed		GCA_017976325.1	UNRESOLVED	109905	Actinopteri	Chaetodontiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_017976325.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
sparus_aurata_gca_900880675_2	Sparus aurata	648		tier3c_seed		GCA_900880675.2	UNRESOLVED	8175	Actinopteri	Spariformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_900880675.2		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
takifugu_rubripes_gca_901000725_3	Takifugu rubripes	654		tier3c_seed		GCA_901000725.3	UNRESOLVED	31033	Actinopteri	Tetraodontiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_901000725.3		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
pempheris_klunzingeri_gca_042242105_1	Pempheris klunzingeri	658		tier3a_seed,tier3c_seed		GCA_042242105.1	GCA_042242125.1	3127111	Actinopteri	Acropomatiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_042242105.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
sphaeramia_orbicularis_gca_902148855_1	Sphaeramia orbicularis	662		tier3c_seed		GCA_902148855.1	UNRESOLVED	375764	Actinopteri	Kurtiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_902148855.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
gouania_willdenowi_gca_900634775_2	Gouania willdenowi	663		tier3c_seed		GCA_900634775.2	UNRESOLVED	441366	Actinopteri	Blenniiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_900634775.2		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
cyclopterus_lumpus_gca_009769545_1	Cyclopterus lumpus	665		tier3a_seed,tier3c_seed		GCA_009769545.1	UNRESOLVED	8103	Actinopteri	Perciformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_009769545.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
sebastes_umbrosus_gca_015220745_1	Sebastes umbrosus	666		tier3c_seed		GCA_015220745.1	UNRESOLVED	72105	Actinopteri	Perciformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_015220745.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
heterodontus_francisci_gca_036365525_1	Heterodontus francisci	677	6	tier3a_seed,tier3c_seed	tier3c_composition	GCF_036365525.1		7792	Chondrichthyes	Heterodontiformes	blocked_stricter_cap	metadata_eligible_but_not_selected_user_quota_unavailable_fail_closed	QUOTA_UNAVAILABLE	GCF_036365525.1	proven_official_exact_h1	not_applicable_composition_only	not_applicable_composition_only	acd393a5da9277a848f470b093eb03c3bce0e279bc31b89637fccb9aa01aef9a;a648ed5fc7c368b934a50744e84196ef308d157f1e493b34628300c30f9eef79;bac6052f5eba79663f511a0a89043005f5f0e0aa6acc5a39916ae74a34fcf3c4;103e116185cc2248ce29a04c1be5df004f77cf854a5442f9c53c868e6e0b7c61;214aaa5577ce6b9a3c8981d5326f38a61e8e6372510bc3b9f88a96b4179591e7;605d9ccb2bff48e9f195c775962d25746d1c4483217e1cc568ec391aad4dce13	QUOTA_UNAVAILABLE
