pair_id	catalog_row	scientific_name	link_class	h1_accession_version	h2_accession_version	disposition	primary_reason_code	core_callable_diversity	psmc_unscaled	annotation_partitions	same_pair_psmc_independent_evidence
R0311-ALT01	311	Caprimulgus europaeus	alternate	GCA_907165065.1	GCA_907165095.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0312-HQ01	312	Aegotheles albertisi	other_high_quality	GCA_039906565.1	GCA_039906465.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0313-ALT01	313	Podargus strigoides	alternate	GCA_028020825.1	GCA_028020675.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0315-ALT01	315	Nyctibius grandis	alternate	GCA_013368605.1	GCA_013368595.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0316-HQ01	316	Chlamydotis macqueenii	other_high_quality	GCA_036417535.1	GCA_036418225.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0317-ALT01	317	Tauraco erythrolophus	alternate	GCA_009769465.1	GCA_009764505.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0318-ALT01	318	Cuculus canorus	alternate	GCA_017976375.1	GCA_017976305.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0320-ALT01	320	Pterocles gutturalis	alternate	GCA_009769525.1	GCA_009769505.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0321-ALT01	321	Streptopelia turtur	alternate	GCA_901699155.2	GCA_901699165.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0322-HQ01	322	Streptopelia decaocto	other_high_quality	GCA_964273445.1	GCA_964273585.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0323-ALT01	323	Nesoenas mayeri	alternate	GCA_963082525.1	GCA_963082445.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0324-HQ01	324	Caloenas nicobarica	other_high_quality	GCA_036013445.1	GCA_036010745.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0325-HQ01	325	Patagioenas fasciata	other_high_quality	GCF_037038585.1	GCA_036971685.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0326-HQ01	326	Columba livia	other_high_quality	GCA_036013475.2	GCA_036010775.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0326-HQ02	326	Columba livia	other_high_quality	GCA_036013475.2	GCA_032719375.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0327-ALT01	327	Phoenicopterus ruber	alternate	GCA_009819775.1	GCA_009819805.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0329-HQ01	329	Gallus gallus	other_high_quality	GCA_016700215.2	GCF_016699485.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0329-HQ02	329	Gallus gallus	other_high_quality	GCA_016700215.2	GCA_027557775.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0329-HQ03	329	Gallus gallus	other_high_quality	GCA_016700215.2	GCA_027408225.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0329-HQ04	329	Gallus gallus	other_high_quality	GCA_016700215.2	GCA_024206055.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0330-ALT01	330	Lagopus muta	alternate	GCA_023343835.1	GCA_023344045.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0331-ALT01	331	Tetrao urogallus	alternate	GCA_951394365.1	GCA_951394355.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0332-HQ01	332	Coturnix chinensis	other_high_quality	GCA_039878825.1	GCA_039878515.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0333-ALT01	333	Aythya fuligula	alternate	GCA_009819795.1	GCA_009819845.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0334-HQ01	334	Aythya ferina	other_high_quality	GCA_964211825.1	GCA_964211795.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
